TESS Input Catalog identifier,Tess magnitude,Luminosity (in L_sun),Effective Temp. (in K),Radius (in R_sun),Period of Rotation (in days),Rossby Number,Bolometric Energy (in erg units),Relative flare amplitude,Mass (in M_sun)
2761472,12.551,0.003575054,3041,0.216026,0.958129,0.00958129,1.47E+33,0.75583,0.173843404
5656273,9.2107,0.065434514,3815,0.587235,0.431193,0.00431193,1.06E+33,0.01613,0.527275659
5725904,13.8295,0.004682469,3124,0.234268,0.330389,0.00330389,1.19E+33,0.66936,0.192702837
5796048,10.8081,0.048188703,3621,0.559388,0.555649,0.00555649,7.54E+33,0.133,0.469166692
7151484,9.87974,0.023122218,3403,0.438721,1.15218,0.0115218,4.13E+32,0.03822,0.354489687
12421477,11.701,0.04350486,3461,0.581786,0.358996,0.00358996,4.08E+33,0.05334,0.451209007
12423835,12.9949,0.010283013,3190,0.332948,2.844444,0.02844444,3.13E+33,0.28766,0.260187937
12471629,11.7126,0.018809487,3213,0.443879,2.2294,0.022294,4.64E+32,0.03139,0.327631068
12509218,11.4937,0.017288106,3192,0.431167,0.83507,0.0083507,6.93E+32,0.04613,0.317251976
12931952,12.4529,0.004487586,3171,0.222593,0.350149,0.00350149,2.33E+32,0.12177,0.18960139
12996375,15.3331,0.004322509,3064,0.233985,1.1033,0.011033,8.97E+32,0.17302,0.186908461
20892891,11.5143,0.032891056,3516,0.490161,4.790643,0.04790643,1.76E+33,0.07501,0.405526274
25081629,14.0971,0.007084886,3153,0.282889,0.274577,0.00274577,1.02E+33,0.36275,0.225702404
25118964,12.0301,0.028228274,3323,0.508369,1.017008,0.01017008,1.19E+33,0.08724,0.382540985
25132999,10.8124,0.079913998,3945,0.606897,4.92012,0.0492012,1.05E+34,0.10711,0.569080354
25153167,13.5675,0.002538989,3036,0.182652,0.373484,0.00373484,3.04E+32,0.2462,0.152557071
25200252,10.955,0.006781177,3223,0.264868,1.205592,0.01205592,3.64E+32,0.12833,0.221959464
25243422,11.9169,0.006732653,3138,0.27841,0.958129,0.00958129,1.76E+32,0.06889,0.221351918
25374751,11.5526,0.005889593,3286,0.237468,4.551111,0.04551111,9.20E+31,0.03458,0.210332962
27955268,13.2609,0.004062359,2928,0.248396,0.616577,0.00616577,1.93E+32,0.08117,0.182532333
29257288,11.8478,0.006173046,3258,0.247312,0.446461,0.00446461,8.86E+31,0.03391,0.214140615
29477348,12.0597,0.003676251,3089,0.212307,0.323007,0.00323007,1.96E+32,0.07668,0.175705412
29780677,13.2324,0.001109172,2849,0.137092,1.23003,0.0123003,2.61E+32,0.91289,0.111213319
29830830,11.6985,0.071782485,3608,0.68766,4.233592,0.04233592,2.18E+33,0.02749,0.546242724
30186108,12.8896,0.00721751,3125,0.290664,1.65495,0.0165495,1.39E+33,0.13543,0.227305765
31381302,12.4884,0.001150375,2836,0.140898,0.16519,0.0016519,3.95E+31,0.1818,0.112772397
31740375,11.7966,0.017885704,3379,0.391358,2.780574,0.02780574,2.27E+33,0.11169,0.321393734
31798493,15.1969,0.0025474,2907,0.199552,0.24192,0.0024192,7.22E+32,0.93856,0.152749772
31852565,12.8471,0.029953946,3458,0.483587,1.776085,0.01776085,1.82E+33,0.14018,0.391303504
32052779,12.7824,0.027644388,3339,0.498274,3.715193,0.03715193,1.40E+33,0.05087,0.379501356
32068898,13.818,0.00706542,3194,0.275294,0.67927,0.0067927,8.63E+33,0.53099,0.225465517
32089522,12.9768,0.03550382,3435,0.533558,2.395322,0.02395322,1.92E+33,0.05946,0.417531946
32178036,12.5781,0.033488516,3472,0.507208,4.233592,0.04233592,1.35E+33,0.04742,0.408322206
33864387,11.4002,0.038148186,3443,0.550504,4.551111,0.04551111,2.03E+33,0.0374,0.429138672
33880418,13.5144,0.003243306,3120,0.195471,1.66254,0.0166254,3.76E+32,0.13879,0.167500153
33881250,12.875,0.013213862,3151,0.386826,1.137778,0.01137778,1.35E+33,0.08696,0.286322595
38462407,8.68639,0.066359511,3840,0.583696,1.65495,0.0165495,5.08E+32,0.0048,0.53010824
38515801,13.2666,0.017637044,3249,0.42035,1.07085,0.0107085,3.23E+33,0.29007,0.319680907
38586438,11.6704,0.037733486,3471,0.538706,0.555675,0.00555675,6.72E+33,0.06522,0.42735209
38633243,12.4906,0.023184775,3492,0.417206,0.00463,4.63E-05,1.47E+33,0.02663,0.354855436
38633462,12.9908,0.020325959,3117,0.490286,0.580597,0.00580597,1.32E+33,0.09066,0.33747203
38634790,13.5985,0.015248504,3350,0.367639,1.733757,0.01733757,1.96E+33,0.15076,0.302409275
38680132,13.3208,0.021163672,3301,0.446069,0.285484,0.00285484,5.10E+33,0.1346,0.342714466
38681518,14.3179,0.006804882,3141,0.279365,2.41129,0.0241129,1.38E+33,0.25249,0.222255293
38698751,13.4923,0.001559551,2906,0.156245,0.601831,0.00601831,1.62E+32,0.091,0.126661787
38820496,13.2972,0.005760805,3013,0.279345,0.654579,0.00654579,8.77E+32,0.15385,0.208565474
38824355,13.018,0.005994989,3235,0.247197,1.400342,0.01400342,3.38E+32,0.04758,0.21176172
41463262,13.3835,0.01955798,3346,0.417357,2.638325,0.02638325,1.87E+33,0.17549,0.332547293
41862041,12.5475,0.008744103,3124,0.320135,0.737022,0.00737022,1.91E+32,0.04375,0.244576637
41862291,12.4293,0.019018059,3412,0.395788,0.914796,0.00914796,6.09E+32,0.02768,0.329012978
47423224,9.78166,0.004784878,3172,0.229703,0.317669,0.00317669,4.49E+31,0.02476,0.194300702
47424873,11.1122,0.020910233,3191,0.474486,1.300317,0.01300317,8.26E+32,0.06512,0.341142187
47465993,10.3343,0.071828579,3866,0.599132,1.876747,0.01876747,1.86E+33,0.02911,0.546376578
49622317,13.7393,0.009912732,3109,0.344154,0.558312,0.00558312,5.05E+33,0.81694,0.25657134
49678165,12.9993,0.006441707,3064,0.285641,3.715193,0.03715193,2.09E+32,0.0619,0.217650998
49687321,12.4264,0.010789395,3214,0.335973,0.954049,0.00954049,5.31E+32,0.09012,0.265005789
50311775,12.6614,0.009180354,2957,0.366121,0.232933,0.00232933,4.29E+32,0.12095,0.24916398
50472380,12.9075,0.016001756,3186,0.41638,1.611013,0.01611013,3.72E+33,0.40827,0.308026185
52019004,11.9629,0.045010155,3415,0.607815,1.64004,0.0164004,2.00E+33,0.0501,0.457105247
52194976,13.5647,0.010178648,3135,0.342979,0.62119,0.0062119,1.60E+33,0.09706,0.259176845
52256020,14.7349,0.002290069,2801,0.203796,0.2658,0.002658,2.66E+32,0.26268,0.146665664
52284854,12.7054,0.01021488,3159,0.338388,0.385518,0.00385518,5.62E+32,0.06523,0.259528583
53726408,12.7556,0.007955547,3194,0.292121,0.725909,0.00725909,8.33E+32,0.12806,0.235911362
53752822,13.1125,0.006533307,3197,0.264228,1.400342,0.01400342,3.89E+32,0.18691,0.218827124
53842250,14.249,0.002538829,2974,0.190341,0.523633,0.00523633,6.11E+32,0.42282,0.152553399
53842668,12.2723,0.009771578,3310,0.301456,2.333903,0.02333903,4.79E+32,0.04753,0.255170685
53851254,12.1152,0.047648204,3615,0.55809,1.760212,0.01760212,9.03E+33,0.10751,0.467151168
55453391,13.5772,0.01062712,3286,0.318985,4.13737,0.0413737,1.58E+33,0.0835,0.263477384
55663720,12.525,0.04508384,3433,0.60195,4.334392,0.04334392,3.63E+33,0.03462,0.457390719
55848120,14.147,0.010905007,3169,0.347429,0.350296,0.00350296,1.87E+33,0.22241,0.266086043
61178249,14.1754,0.003292735,2961,0.218675,0.924083,0.00924083,4.68E+32,0.1023,0.168469934
66438591,12.609,0.029624574,3502,0.468912,3.371193,0.03371193,1.67E+33,0.02622,0.389655616
69814849,12.4867,0.008554412,3132,0.315028,1.820444,0.01820444,4.20E+32,0.03907,0.242537802
70761819,13.423,0.027612594,3369,0.489158,4.771026,0.04771026,1.60E+33,0.08984,0.379334709
70798821,14.0072,0.007460221,3070,0.306194,1.7174,0.017174,1.54E+33,0.39461,0.230193469
71335815,11.1395,0.077302882,3890,0.613898,4.66781,0.0466781,1.21E+33,0.03399,0.56191036
77022104,13.7408,0.003010553,2871,0.22241,0.549335,0.00549335,3.23E+32,0.11682,0.162806247
79011520,12.7276,0.023506311,3063,0.546004,0.660404,0.00660404,2.02E+34,1.1812,0.356725798
80080784,11.2724,0.022602505,3426,0.427958,1.957467,0.01957467,2.77E+32,0.02057,0.351427156
80083663,13.9032,0.025092855,4008,0.329471,2.600635,0.02600635,6.35E+33,0.25211,0.36573042
80337451,13.2999,0.023765188,3246,0.488845,0.92058,0.0092058,1.98E+33,0.06581,0.358220209
80362748,14.3948,0.001994892,2986,0.16737,1.034343,0.01034343,9.65E+31,0.0978,0.139140857
80427281,11.1395,0.044794783,3479,0.584255,3.715193,0.03715193,1.63E+33,0.06155,0.456269188
88246378,12.4736,0.039123652,3236,0.631103,1.05228,0.0105228,4.03E+33,0.08832,0.433294279
89257479,10.6543,0.003405458,3093,0.20381,1.123731,0.01123731,4.23E+31,0.03841,0.170648346
89434461,13.0867,0.014782712,3211,0.393998,1.07085,0.0107085,1.04E+34,0.56352,0.29884961
89502706,11.1364,0.051138885,3587,0.587233,0.479538,0.00479538,1.94E+33,0.034,0.479928786
89546779,13.7451,0.041322774,3344,0.607379,2.627615,0.02627615,1.28E+34,0.32452,0.442433365
92138131,11.7342,0.053435222,3514,0.625472,2.092465,0.02092465,1.56E+33,0.01555,0.488042736
92254719,13.5533,0.010327721,3192,0.333253,0.705599,0.00705599,1.98E+33,0.23334,0.260619127
92350846,13.0942,0.008217145,3227,0.290844,1.218198,0.01218198,1.36E+33,0.25149,0.238842598
92877691,13.6638,0.006048641,3154,0.261218,0.645548,0.00645548,5.79E+32,0.11161,0.212483071
99499658,12.1827,0.054365187,3655,0.583154,4.440108,0.04440108,1.88E+33,0.02895,0.491267325
100100909,13.167,0.004694475,2877,0.276574,0.179332,0.00179332,4.06E+32,0.35404,0.192891272
102071750,12.0482,0.01635304,3268,0.400067,1.4681,0.014681,8.81E+32,0.08194,0.310589805
111755544,13.1741,0.022729761,3300,0.462559,4.13737,0.0413737,2.77E+33,0.15254,0.352181036
114818487,13.9799,0.003687062,2975,0.229226,0.317704,0.00317704,1.84E+33,0.75531,0.175902463
114851071,10.9967,0.03091083,3417,0.50311,2.56401,0.0256401,1.38E+33,0.04404,0.396028271
114858562,14.068,0.007061083,3062,0.299449,0.346339,0.00346339,5.02E+32,0.16632,0.225412685
114953216,11.6672,0.005100106,3190,0.23448,1.0584,0.010584,8.16E+31,0.04055,0.199090279
115190256,12.5616,0.032088063,3487,0.492227,0.545349,0.00545349,3.90E+33,0.16779,0.40171859
115693552,13.3895,0.003994581,3050,0.227004,0.811227,0.00811227,3.31E+32,0.28222,0.181363894
116157661,12.2775,0.012786782,3173,0.375265,0.8587,0.008587,1.05E+33,0.20061,0.282754563
117545157,14.1348,0.007482413,3014,0.31815,4.551111,0.04551111,2.18E+33,0.54459,0.23045459
117549840,12.1607,0.046490451,3566,0.566522,0.332995,0.00332995,3.13E+34,0.10421,0.462785821
120442975,13.975,0.003594711,3032,0.217907,0.520127,0.00520127,1.47E+33,0.37839,0.174207624
120506718,12.6923,0.003014951,3117,0.188827,1.611013,0.01611013,2.18E+32,0.08899,0.162896987
120522722,14.3025,0.002826295,2843,0.219762,0.100378,0.00100378,3.09E+32,0.55315,0.158928607
126945045,13.1484,0.012992038,3156,0.382351,0.409895,0.00409895,9.24E+32,0.18974,0.284478421
139722169,12.291,0.007081109,3251,0.26602,0.471962,0.00471962,1.64E+32,0.02022,0.225656479
139804406,13.4249,0.002585213,3046,0.183099,0.457255,0.00457255,1.14E+32,0.17325,0.153611253
139804696,12.5071,0.012440403,3149,0.375811,0.883309,0.00883309,1.04E+33,0.14131,0.279806251
139984208,12.0395,0.016009469,3231,0.40496,1.05171,0.0105171,5.38E+32,0.04785,0.308082844
139990632,14.2673,0.002448103,3037,0.179235,0.240481,0.00240481,3.31E+32,0.27507,0.150449215
139996019,11.2686,0.08540453,3914,0.637377,2.092465,0.02092465,2.90E+33,0.02881,0.583697879
140045538,8.23083,0.047825447,3466,0.608233,1.123731,0.01123731,8.00E+32,0.01749,0.467813659
141271216,13.7275,0.007491044,3190,0.284176,4.38725,0.0438725,1.27E+33,0.41081,0.230556017
141278810,13.9021,0.008029928,3102,0.31115,0.78902,0.0078902,1.87E+33,0.67691,0.236750794
141334293,12.7255,0.016083689,3149,0.427312,1.427997,0.01427997,9.22E+33,0.72642,0.308627206
141423634,13.0842,0.012146485,3194,0.360955,0.947843,0.00947843,1.04E+33,0.10241,0.277264401
141807839,11.2111,0.039530693,3259,0.625455,0.847581,0.00847581,1.24E+33,0.03116,0.435009377
